"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"AJD7305001","D7305001","17oz White High Impact Container 20/Pk  25Pks/Cs","","","Disposables : Containers","","62.57","","","","","","","","","","true"
"AJD7310001","D7310001","34oz White High Impact Container 20/Pk  25Pks/Cs","","","Disposables : Containers","","85.22","","","","","","","","","","true"
"AJD750800E","D750800","Sello Plus 8oz Clear H-Lid Deli Container 100/Pk 2Pks/Cs","","","Disposables : Containers","","21.78","","","","","","","","","","true"
"AJD751200","D751200","Sello Plus 12oz Clear H-Lid Deli Container 100/Pk 2Pks/Cs","","","Disposables : Containers","","23.01","","","","","","","","","","true"
"AJD770800","D770800","8oz Clear Reversible Dome Container  50/Pk 10Pks/Cs","","","Disposables : Containers","","24.16","","","","","","","","","","true"
"AJD770800T","D770800T","Clear Lid For Reversible Containers 50/Pk 10Pks/Cs","","","Disposables : Containers","","19.75","","","","","","","","","","true"
"AJD7712","D771200","12oz Clear Reversible Dome Container 50/Pk 10Pks/Cs","","","Disposables : Containers","","19.33","","","","","","","","","","true"
"AJD772400SP","D772400SP","24oz Clear Reversible Dome Container & Lid 50/Pk 2Pks/Cs","","","Disposables : Containers","","17.73","","","","","","","","","","true"
"AJD773200SP","D773200SP","32oz Clear Reversible Dome Container & Lid 50/Pk 2Pks/Cs","","","Disposables : Containers","","18.83","","","","","","","","","","true"
"AJD781507","D78150701","White Banana Boat Container ( 6 X 3 X 2 ) 500/Cs","","","Disposables : Containers","","13.6","","","","","","","","","","true"
"AJDC0680","DC0680200","Clear 2.5"" Petite Square Plate 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC06801","DC0680100","Clear 2oz Petite Square Cup 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC0680101","DC0680101","White 2oz Petite Square Cup 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC068019","DC0680199","Black 2oz Petite Square Cup 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC06802","DC0680299","Black 2.5"" Petite Square Plate 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC0680201","DC0680201","White 2.5"" Petite Square Plate 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
